Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
433;Berlin-Tempelhof;R1;01.09.1995;03.04.2024;1318;Gesamt_Messzeitraum;eor;                                                                                                                             
433;Berlin-Tempelhof;RS_IND;01.09.1995;03.04.2024;1318;Gesamt_Messzeitraum;eor;                                                                                                                         
433;Berlin-Tempelhof;WRTR;01.09.1995;03.04.2024;121689;Gesamt_Messzeitraum;eor;                                                                                                                         
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
433;Berlin-Tempelhof;R1;11.09.1995-22:00;11.09.1995-23:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;12.04.1996-10:00;12.04.1996-13:00;3;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;29.12.1996-19:00;03.01.1997-11:00;112;;eor;                                                                                                                                     
433;Berlin-Tempelhof;R1;05.05.1997-06:00;05.05.1997-18:00;12;;eor;                                                                                                                                      
433;Berlin-Tempelhof;R1;21.05.1997-21:00;21.05.1997-22:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;22.05.1997-08:00;22.05.1997-11:00;3;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;22.05.1997-16:00;23.05.1997-05:00;13;;eor;                                                                                                                                      
433;Berlin-Tempelhof;R1;23.05.1997-10:00;23.05.1997-12:00;2;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;29.07.1997-16:00;04.08.1997-09:00;137;;eor;                                                                                                                                     
433;Berlin-Tempelhof;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;06.05.1998-16:00;06.05.1998-17:00;1;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;24.08.1998-07:00;25.08.1998-10:00;27;;eor;                                                                                                                                      
433;Berlin-Tempelhof;R1;26.08.1998-11:00;26.08.1998-13:00;2;;eor;                                                                                                                                       
433;Berlin-Tempelhof;R1;19.11.1998-14:00;20.11.1998-05:00;15;;eor;                                                                                                                                      
